smi,name,subclass,T_C,tmax,log_tmax,k_f,k_d,censored,model,q_C,d_LiC,%Vbur,BDE,Gsolv,HOMO,eta,fukui,B1,B5,L,vol,dipole,q_Li
[Li]C1(c2ccc(Cl)cc2)CO1,lithium oxiranyl anion,oxiranylLi,-58.0,0.675892,-0.1701226939270005,6.95919,0.0659385,False,competing,-0.1381,1.8998,0.3076,458.7000000000001,-69.94,-9.082,2.8360000000000003,-0.0736,1.8527,6.6822,4.1198,168.06,7.178,0.5165000000000001
[Li]C1(c2ccc(Cl)cc2)CO1,lithium oxiranyl anion,oxiranylLi,-48.0,0.442561,-0.35402686024849667,7.90366,0.26948,False,competing,-0.1381,1.8998,0.3076,458.7000000000001,-69.94,-9.082,2.8360000000000003,-0.0736,1.8527,6.6822,4.1198,168.06,7.178,0.5165000000000001
[Li]C1(c2ccc(Cl)cc2)CO1,lithium oxiranyl anion,oxiranylLi,-38.0,0.00961132,-2.0172169630756267,617.792,1.65577,False,competing,-0.1381,1.8998,0.3076,458.7000000000001,-69.94,-9.082,2.8360000000000003,-0.0736,1.8527,6.6822,4.1198,168.06,7.178,0.5165000000000001
[Li]C1(c2ccc3ccccc3c2)CO1,lithiated 2-(2-naphthyl)ethylene oxide,oxiranylLi,-78.0,8.32930821276576,0.9206089327567791,0.51386,,True,formation_only,-0.1381,1.8992,0.3164,451.4,-72.85000000000001,-8.822000000000001,2.3480000000000008,-0.0633,1.82,7.2236,4.1192,196.45,5.5840000000000005,0.5085000000000001
[Li]C1(c2ccc3ccccc3c2)CO1,lithiated 2-(2-naphthyl)ethylene oxide,oxiranylLi,-68.0,1.92885,0.2852984553757464,2.81578,0.0126306,False,competing,-0.1381,1.8992,0.3164,451.4,-72.85000000000001,-8.822000000000001,2.3480000000000008,-0.0633,1.82,7.2236,4.1192,196.45,5.5840000000000005,0.5085000000000001
[Li]C1(c2ccc3ccccc3c2)CO1,lithiated 2-(2-naphthyl)ethylene oxide,oxiranylLi,-58.0,0.993903,-0.002655998520543402,4.0474,0.0783322,False,competing,-0.1381,1.8992,0.3164,451.4,-72.85000000000001,-8.822000000000001,2.3480000000000008,-0.0633,1.82,7.2236,4.1192,196.45,5.5840000000000005,0.5085000000000001
[Li]C1(c2ccc3ccccc3c2)CO1,lithiated 2-(2-naphthyl)ethylene oxide,oxiranylLi,-48.0,0.410006,-0.3872097877977645,8.34208,0.309749,False,competing,-0.1381,1.8992,0.3164,451.4,-72.85000000000001,-8.822000000000001,2.3480000000000008,-0.0633,1.82,7.2236,4.1192,196.45,5.5840000000000005,0.5085000000000001
[Li]C1(c2ccc3ccccc3c2)CO1,lithiated 2-(2-naphthyl)ethylene oxide,oxiranylLi,-38.0,0.00795009,-2.0996279548300545,797.406,1.42366,False,competing,-0.1381,1.8992,0.3164,451.4,-72.85000000000001,-8.822000000000001,2.3480000000000008,-0.0633,1.82,7.2236,4.1192,196.45,5.5840000000000005,0.5085000000000001
[Li]C1OC1c1ccccc1,lithium oxiranyl anion,oxiranylLi,-78.0,11.70666431509627,1.0684331652757224,0.329957,,True,formation_only,-0.1795,1.8829,0.3838,489.1,-61.63,-8.66,2.441,-0.0915,1.82,6.4333,4.7172,149.98,4.283,0.4727
[Li]C1OC1c1ccccc1,lithium oxiranyl anion,oxiranylLi,-68.0,5.63516,0.7509062515499365,0.818731,0.00851706,False,competing,-0.1795,1.8829,0.3838,489.1,-61.63,-8.66,2.441,-0.0915,1.82,6.4333,4.7172,149.98,4.283,0.4727
