smi,name,subclass,T_C,tmax,log_tmax,k_f,k_d,censored,model,q_C,d_LiC,%Vbur,BDE,Gsolv,HOMO,eta,fukui,B1,B5,L,vol,dipole,q_Li,stable
[Li]c1ccc(C(=O)OCC)cc1,ethyl p-lithiobenzoate,m+p ArLi,0.0,0.00113567,-2.944747846441352,4997.13,17.4854,False,competing,-0.2228,1.9065,0.2301,413.2000000000001,-89.24,-8.947000000000001,2.4430000000000014,-0.1035,1.82,3.8095,4.1265,180.37,7.86,0.4242,0
[Li]c1ccc(OC)cc1,p-Anisyllithium,m+p ArLi,0.0,0.46123520688993613,-0.33607754965477327,16.6977,,True,formation_only,-0.2409,1.8984,0.2304,407.4,-68.87,-8.577,3.157,-0.116,1.8282,3.2845,4.1184,143.17,5.775,0.4014,1
[Li]c1ccc([N+](=O)[O-])cc1,p-nitrophenyllithium,m+p ArLi,0.0,9.58089e-05,-4.018594146022114,133403.0,0.375302,False,competing,-0.2167,1.9221,0.2285,434.6,-85.23,-9.584,1.657,-0.1171,1.82,3.2439,4.1421,142.69,12.377,0.4503,0
[Li]c1cccc(Br)c1,m-bromophenyllithium,m+p ArLi,0.0,0.10018547549856133,-0.9991952362337764,94.1052,,True,formation_only,-0.2293,1.9094,0.2299,420.6,-68.66,-9.177,3.226999999999999,-0.1125,1.82,4.6982,4.1294,137.27,8.948,0.4358,1
[Li]c1cccc(C#N)c1,m-cyanophenyllithium,m+p ArLi,0.0,0.0377875,-1.4226518398141266,210.113,0.0750825,False,competing,-0.2284,1.9116,0.2296,418.4,-74.72,-9.14,2.6350000000000007,-0.1166,1.82,4.9551,4.1316,135.4,9.332,0.4289,0
[Li]c1cccc(C(=O)OC(C)(C)C)c1,tert-butyl m-lithiobenzoate,m+p ArLi,0.0,0.000156814,-3.8046151670895347,83254.1,0.178042,False,competing,-0.2296,1.9065,0.23,409.5,-95.12,-8.837,2.42,-0.1016,2.005,7.903,4.1265,214.28,8.359,0.4191,0
[Li]c1cccc(C(=O)OC(C)C)c1,isopropyl m-lithiobenzoate,m+p ArLi,0.0,0.00164706,-2.783290579825821,4148.73,4.50312,False,competing,-0.2294,1.9071,0.2301,410.7000000000001,-93.78,-8.875,2.396,-0.1072,1.8401,7.9393,4.1271,197.67,8.546,0.4214,0
[Li]c1cccc(C(=O)OC)c1,methyl m-lithiobenzoate,m+p ArLi,-28.0,0.0333227,-1.4772598167612105,81.3288,6.78312,False,competing,-0.2292,1.906,0.2299,412.2000000000001,-85.11,-8.924,2.358999999999999,-0.1116,1.82,6.6381,4.126,162.99,8.509,0.4242,0
[Li]c1cccc(C(=O)OCC)c1,ethyl m-lithiobenzoate,m+p ArLi,0.0,0.00163446,-2.7866257034053272,3127.23,19.4602,False,competing,-0.2295,1.905,0.2301,411.3,-90.76,-8.9,2.3790000000000004,-0.1095,1.82,7.9537,4.125,179.95,8.648,0.4229,0
[Li]c1cccc([N+](=O)[O-])c1,m-nitrophenyllithium,m+p ArLi,0.0,0.0165799,-1.780418093181352,411.089,0.454079,False,competing,-0.2209,1.9063,0.2359,436.7000000000001,-80.38,-9.561,1.4789999999999992,-0.1211,1.82,5.5446,4.1263,142.67,8.883000000000001,0.4497,0
