smiles,intermediate_class,actual_t_half_78C,actual_log10_t_half,actual_Ea,s1_t_half,s1_log10_t_half,s1_Ea,s2_t_half_med,s2_t_half_lo,s2_t_half_hi,s2_log10_t_half,s2_Ea_mean,s2_Ea_std
[Li]c1cccc(C(=O)OCC)c1,ArLi,23.11,1.3637999454791092,38.29,180.15957686512135,2.25565735315927,40.79833449375246,137.84537714452676,0.3327419362989434,69617.36820796152,2.139392205956572,37.71464057566416,3.7186914461345446
[Li]c1ccccc1C(=O)OC,ArLi,32.18,1.5075860397630108,39.61,135.4456094019466,2.1317649315293044,47.82808563029394,222.22034404276965,0.5519700675181511,121578.24965126291,2.3467838156357694,39.92643584842965,4.106216094191697
[Li]c1cccc(C(=O)OC)c1,ArLi,11.65,1.0663259253620379,40.02,178.8573440916622,2.252506777490302,40.97710057644168,141.70788084599465,0.3518426248468024,74161.41206543,2.151394003477913,37.78903119456685,3.6751054776795744
[Li]c1ccccc1C(=O)OC(C)C,ArLi,425.6,2.6290016192869916,40.71,137.35340268118284,2.137839422747165,47.48341433417372,225.45019989544687,0.489657359513831,148712.80219550018,2.353050624710015,39.80692169714573,4.056332226906458
[Li]c1cccc(C(=O)OC(C)(C)C)c1,ArLi,3813.0,3.5812668052736707,40.85,177.46261455612878,2.2491068756892605,41.170013615314936,143.5764608472033,0.4556606889632269,63031.86123331675,2.157083243791105,37.83303010019251,3.5702669545243397
[Li]c1ccc(C(=O)OC)cc1,ArLi,14.59,1.1640552918934517,41.55,174.0504374765031,2.240675119222677,41.64843795172062,140.9184753080903,0.295434500249075,54453.335330825474,2.1489679356100764,37.92379757230032,3.4985848839328404
[Li]c1ccccc1C(=O)OCC,ArLi,186.6,2.270911639410481,43.56,136.67407761386545,2.1356861516065058,47.60559259212678,227.89350441529652,0.5294846346347246,111039.41800127969,2.3577319467828497,39.8715371476853,4.052468305791391
[Li]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ArLi,9.621,0.9832202146481029,48.27,168.1221314122472,2.2256248872500657,42.50239967046623,147.20818960697085,0.3912390339230135,57972.89348184715,2.167931971701072,38.2017409935259,3.390220880488419
[Li]CF,ArLi,5.233,0.7187507347396652,49.17,143.48644469971575,2.156810874796979,46.40695957726095,211.42953620603024,0.5864631658145545,99658.38455016572,2.3251656571212376,39.52699526010506,3.678384366336229
[Li]C1(c2ccc(C)cc2)CO1,carbanion,57.84,1.7622282842864745,51.25,146.20783259565587,2.164970639119479,45.943968283965134,196.2161495061583,0.4990431672873937,88425.73184623536,2.2927347489805983,39.31091897133694,3.5171541556697767
[Li]c1ccc(C(=O)OC(C)(C)C)cc1,ArLi,33940.0,4.530711837981657,52.99,169.92166452466074,2.230248753699483,42.2400379375986,160.50952559226062,0.4270428922127617,57638.01846097348,2.2055008111296677,38.12898754973503,3.332405223306763
[Li]c1ccccc1I,ArLi,1.177,0.0707764628434347,57.36,137.81295579613922,2.139290047515612,47.40110477092114,1.1174429067638836,0.0002741907118863,7183.787776841364,0.04822534306946126,55.96642246665191,11.297562281808164
[Li]C1(C)OC1c1ccccc1,oxiranylLi,36830.0,4.566201718854913,59.89,145.7887487064941,2.163724008459097,46.014703064885325,195.16710026633615,0.5599312958659406,85626.30884591189,2.2904066095549944,39.28843128384346,3.549402069864686
[Li]C1(c2ccc3ccccc3c2)CO1,ArLi,346.2,2.539327063539375,62.4,153.53545924837516,2.186208692369989,44.73890483447019,187.37609553520957,0.5354315158546628,85986.74687979386,2.272714185061168,38.98802058890949,3.3575410218791717
[Li]C1OC1c1ccccc1,oxiranylLi,532.3,2.7261564661727546,63.81,143.45649335413552,2.1567202107489525,46.412103924964235,207.1234168631847,0.5126681951507239,87749.34666431462,2.3162292019333166,39.45678308852906,3.648772319380999
[Li]C1(c2ccc(Cl)cc2)CO1,oxiranylLi,433.2,2.636688447953283,64.88,166.8546504551615,2.2223383155090577,42.68888227471038,155.2958385500366,0.4026331409570111,60329.77130665534,2.191159818130551,38.3061347148323,3.397008652753246
