intermediate_smiles,conjugate_acid_smiles,intermediate_class,Ea_kJ_mol
[Li]c1cccc(OC)c1,[H]c1cccc(OC)c1,ArLi,
[Li]C#Cc1ccc(OC)cc1,[H]C#Cc1ccc(OC)cc1,carbanion,
[Li]C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,[H]C1([Si](c2ccccc2)(c2ccccc2)c2ccccc2)CO1,oxiranylLi,
[Li]C#Cc1ccccc1,[H]C#Cc1ccccc1,carbanion,
[Li]C#Cc1ccc(OC)c(OC)c1,[H]C#Cc1ccc(OC)c(OC)c1,carbanion,
[Li]c1ccccc1C(=O)OCC,[H]c1ccccc1C(=O)OCC,ArLi,43.56
[Li]C#Cc1ccc(N(C)C)cc1,[H]C#Cc1ccc(N(C)C)cc1,carbanion,
[Li]C#Cc1c(C)cc(C)cc1C,[H]C#Cc1c(C)cc(C)cc1C,carbanion,
[Li]C#Cc1cccs1,[H]C#Cc1cccs1,carbanion,
[Li]c1ccc(Cl)s1,[H]c1ccc(Cl)s1,ArLi,
[Li]c1cccc([N+](=O)[O-])c1,[H]c1cccc([N+](=O)[O-])c1,ArLi,46.52
[Li][C@]1(c2ccccc2)CN1S(=O)(=O)C(C)(C)C,[H][C@]1(c2ccccc2)CN1S(=O)(=O)C(C)(C)C,aziridinylLi,47.19
[Li]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[H]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoroalkylLi,48.27
[Li]CF,[H]CF,alkylLi,49.17
[Li]C1(c2ccc(C)cc2)CO1,[H]C1(c2ccc(C)cc2)CO1,oxiranylLi,51.25
[Li]c1ccccc1-c1ccccc1,[H]c1ccccc1-c1ccccc1,ArLi,
[Li]c1ccc(C(=O)OC(C)(C)C)cc1,[H]c1ccc(C(=O)OC(C)(C)C)cc1,ArLi,52.99
[Li]c1ccccc1-c1ccccc1Br,[H]c1ccccc1-c1ccccc1Br,ArLi,
