arli_smiles,arx_smiles,n_reactions,n_cryo,mean_yield,ref_temp_C,stability_label,n_heavy_atoms,HeavyAtomCount,Li_C_degree,Li_C_ewg_neighbors,Li_C_hybridization_sp2,Li_C_hybridization_sp3,Li_C_is_aromatic,Li_neighbor_count,MW,MolLogP,NumAliphaticRings,NumAromaticAtoms,NumAromaticRings,NumBr,NumF,NumHalogens,NumHeteroatoms,NumI,NumLi,NumN,NumO,NumRotatableBonds,TPSA,has_epoxide,has_ester,has_nitrile
[Li]c1cc2c(cc1F)OC(c1ccccc1)(c1ccccc1)O2,Fc1cc2c(cc1Br)OC(c1ccccc1)(c1ccccc1)O2,4,0,67.6,20.0,batch_moderate,23,23,3,0,1,0,1,1,298.242,3.2920000000000016,1,18,3,0,1,1,4,0,1,0,2,2,18.46,0,0,0
[Li]c1ccc2c(c1)cc(C)n2C(=O)OC(C)(C)C,Cc1cc2cc(Br)ccc2n1C(=O)OC(C)(C)C,1,1,6.0,-78.0,batch_unstable,18,18,3,0,1,0,1,1,237.22799999999995,2.526720000000001,0,9,2,0,0,0,4,0,1,1,2,0,31.23,0,1,0
[Li]c1ccc2c(c1)CCC(=O)N2,O=C1CCc2cc(Br)ccc2N1,1,1,14.0,-78.0,batch_unstable,12,12,3,0,1,0,1,1,153.11,0.3650999999999999,1,6,1,0,0,0,3,0,1,1,1,0,29.1,0,0,0
[Li]c1ccc2c(c1)CCN2C(=O)OC(C)(C)C,CC(C)(C)OC(=O)N1CCc2cc(Br)ccc21,1,1,18.4,-78.0,batch_unstable,17,17,3,0,1,0,1,1,225.21699999999998,1.778,1,6,1,0,0,0,4,0,1,1,2,0,29.540000000000003,0,1,0
[Li]c1cccc2c1ccn2[Si](C(C)C)(C(C)C)C(C)C,CC(C)[Si](C(C)C)(C(C)C)n1ccc2c(Br)cccc21,1,1,97.8,-78.0,batch_stable,20,20,3,0,1,0,1,1,279.42900000000003,4.458700000000004,0,9,2,0,0,0,3,0,1,1,0,4,4.93,0,0,0
[Li]c1cn([Si](C(C)C)(C(C)C)C(C)C)c2cccc(SC)c12,CSc1cccc2c1c(Br)cn2[Si](C(C)C)(C(C)C)C(C)C,1,1,71.3,-78.0,batch_moderate,22,22,3,0,1,0,1,1,325.5230000000001,5.180600000000005,0,9,2,0,0,0,4,0,1,1,0,5,4.93,0,0,0
[Li]c1cc(F)cc2c1c(Sc1ccc(Cl)cc1)c1n2CCC1CC(=O)O,O=C(O)CC1CCn2c1c(Sc1ccc(Cl)cc1)c1c(Br)cc(F)cc12,1,1,53.0,-78.0,batch_moderate,26,26,3,0,1,0,1,1,381.7850000000002,4.340800000000002,1,15,3,0,1,2,7,0,1,1,2,4,42.230000000000004,0,1,0
[Li]c1cc(F)cc2c1cc1n2CCC1CC(=O)O,O=C(O)CC1CCn2c1cc1c(Br)cc(F)cc12,1,1,99.6,-78.0,batch_stable,18,18,3,0,1,0,1,1,239.17499999999993,1.5362,1,9,2,0,1,1,5,0,1,1,2,2,42.230000000000004,0,1,0
[Li]c1ccc2cc(C=C)ccc2c1,C=Cc1ccc2cc(Br)ccc2c1,1,0,77.6,-15.0,batch_moderate,13,13,3,0,1,0,1,1,160.14499999999998,2.2766,0,10,2,0,0,0,1,0,1,0,0,1,0.0,0,0,0
[Li]c1cc(CC)ccc1OCc1ccccc1,CCc1ccc(OCc2ccccc2)c(Br)c1,2,2,87.0,-78.0,batch_stable,17,17,3,0,1,0,1,1,218.225,2.6218000000000012,0,12,2,0,0,0,2,0,1,0,1,4,9.23,0,0,0
